LocationID,Name,Latitude,Longitude
1,Hume Hall,29.6443,-82.3519
2,Graham Hall,29.64628399,-82.35081565
3,Broward Hall,29.64659157,-82.34196152
4,Rawlings Hall,29.64634357,-82.34291781
5,J. Wayne Reitz Union,29.64643796,-82.34748643
6,Marston Science Library,29.64812715,-82.34409019
7,Computer Science & Engineering,29.6483392,-82.34431218
8,The Hub,29.64818969,-82.34555472
9,Ben Hill Griffin Stadium,29.65024899,-82.34870306
10,Library West,29.65149055,-82.34290195
11,Smathers Library,29.65106016,-82.34169273
12,Plaza of the Americas,29.65073166,-82.34286914
13,Century Tower,29.64887961,-82.34328178
14,Turlington Hall,29.64904496,-82.34406619
15,Newell Hall,29.64909212,-82.3450408
16,Weil Hall,29.64834661,-82.34856765
17,Little Hall,29.64887533,-82.34074931
18,Norman Hall,29.64715521,-82.3380455
19,Beaty Towers,29.64414761,-82.34070709
20,McCarty Hall A,29.64693189,-82.34562029
21,University Auditorium,29.6491024,-82.34292075
22,Heavener Hall of Business,29.65165507,-82.34013935
23,Carleton Auditorium,29.64907401,-82.34167686
24,Grinter Hall,29.64931494,-82.34207572
25,Matherly Hall,29.65162626,-82.34110376
26,Fine Arts Complex,29.64809512,-82.34060872
27,Peabody Hall,29.6500939,-82.3420669
28,Walker Hall,29.64942165,-82.34145432
29,Rolfs Hall,29.64932892,-82.34450364
30,Criser Hall,29.6501803,-82.34154958
31,Tigert Hall,29.64956817,-82.33996084
32,Florida Gymnasium,29.64946906,-82.34727424
33,Levin College of Law,29.64918723,-82.35905864
34,Gerson Hall,29.65076956,-82.34008089
35,Pugh Hall,29.64945249,-82.34556409
36,Dauer Hall,29.65005798,-82.34502186
37,Keene-Flint Hall,29.6513173,-82.34403814
38,Anderson Hall,29.65158959,-82.3418989
39,Music Building,29.64827241,-82.34300757
40,Architecture Building,29.64775186,-82.34180961
41,Bryan Hall,29.65138444,-82.34016088
42,Williamson Hall,29.64785336,-82.34659009
43,Malachowsky Hall,29.64403748,-82.34788012
44,Chemical Engineering Building,29.64287802,-82.34803972
45,Benton Hall,29.64341806,-82.34765084
46,Larsen Hall,29.64314077,-82.34746677
47,Nuclear Sciences Building,29.64788146,-82.3476714
48,Rhines Hall,29.64827215,-82.34917419
49,New Engineering Building,29.64245641,-82.3470967
50,Jennings Hall,29.64408787,-82.34194656
51,Murphree Hall,29.65122897,-82.34677546
52,Buckman Hall,29.65092053,-82.34501982
53,Fletcher Hall,29.65155438,-82.34524583
54,Tolbert Hall,29.64796662,-82.35147884
55,Keys Residential Complex,29.64778547,-82.35441272
56,New Physics Building,29.64405604,-82.34980774
